px,pz,end_speed,pitch_type,b_score,ab_id,b_count,s_count,outs,pitch_num,on_1b,on_2b,on_3b,pitch_type_code,year,inning,p_score,type_B,type_S,type_X,stand_L,stand_R
-0.833,2.468,83.8,1,3.0,2015000687,0.0,0.0,2.0,1.0,0.0,0.0,0.0,FB,2015,8,1,0,1,0,1,0
0.166,2.623,75.9,3,3.0,2015000687,0.0,1.0,2.0,2.0,0.0,0.0,0.0,OS,2015,8,1,0,0,1,1,0
-0.9670000000000001,2.287,84.5,1,3.0,2015000688,0.0,0.0,2.0,1.0,1.0,0.0,0.0,FB,2015,8,1,0,0,1,0,1
-0.249,3.513,82.3,1,0.0,2015006895,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FB,2015,1,1,1,0,0,1,0
0.204,3.8989999999999996,82.6,1,0.0,2015006895,1.0,0.0,0.0,2.0,0.0,0.0,0.0,FB,2015,1,1,1,0,0,1,0
-0.038,2.673,83.5,1,0.0,2015006895,2.0,0.0,0.0,3.0,0.0,0.0,0.0,FB,2015,1,1,0,1,0,1,0
1.7690000000000001,2.448,83.0,1,0.0,2015006895,2.0,1.0,0.0,4.0,0.0,0.0,0.0,FB,2015,1,1,1,0,0,1,0
-0.11900000000000001,2.281,84.0,1,0.0,2015006895,3.0,1.0,0.0,5.0,0.0,0.0,0.0,FB,2015,1,1,0,1,0,1,0
0.9440000000000001,2.707,84.5,1,0.0,2015006895,3.0,2.0,0.0,6.0,0.0,0.0,0.0,FB,2015,1,1,0,1,0,1,0
-0.49,3.7739999999999996,84.6,1,0.0,2015006895,3.0,2.0,0.0,7.0,0.0,0.0,0.0,FB,2015,1,1,1,0,0,1,0
-0.096,2.353,83.2,1,0.0,2015006896,0.0,0.0,0.0,1.0,1.0,0.0,0.0,FB,2015,1,1,0,1,0,1,0
-0.733,2.51,85.1,1,0.0,2015006896,0.0,1.0,0.0,2.0,1.0,0.0,0.0,FB,2015,1,1,0,1,0,1,0
-0.253,3.715,84.7,1,0.0,2015006896,0.0,2.0,0.0,3.0,1.0,0.0,0.0,FB,2015,1,1,0,0,1,1,0
-1.851,3.319,83.7,1,0.0,2015006897,0.0,0.0,1.0,1.0,1.0,0.0,0.0,FB,2015,1,1,1,0,0,1,0
-0.7929999999999999,2.589,84.6,1,0.0,2015006897,1.0,0.0,1.0,2.0,1.0,0.0,0.0,FB,2015,1,1,0,1,0,1,0
-0.768,3.5839999999999996,84.1,1,0.0,2015006897,1.0,1.0,1.0,3.0,1.0,0.0,0.0,FB,2015,1,1,0,1,0,1,0
-0.165,0.546,78.5,3,0.0,2015006897,1.0,2.0,1.0,4.0,1.0,0.0,0.0,OS,2015,1,1,0,1,0,1,0
0.037000000000000005,2.076,83.0,1,0.0,2015006898,0.0,0.0,2.0,1.0,1.0,0.0,0.0,FB,2015,1,1,0,1,0,1,0
1.121,1.685,81.0,1,0.0,2015006898,0.0,1.0,2.0,2.0,1.0,0.0,0.0,FB,2015,1,1,0,1,0,1,0
-1.4280000000000002,2.748,86.6,1,0.0,2015006898,0.0,2.0,2.0,3.0,1.0,0.0,0.0,FB,2015,1,1,1,0,0,1,0
0.303,3.326,86.7,1,0.0,2015006898,1.0,2.0,2.0,4.0,0.0,1.0,0.0,FB,2015,1,1,0,1,0,1,0
-0.16699999999999998,2.501,84.9,1,0.0,2015006902,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FB,2015,2,1,0,1,0,0,1
0.105,2.394,79.6,2,0.0,2015006902,0.0,1.0,0.0,2.0,0.0,0.0,0.0,BR,2015,2,1,0,0,1,0,1
0.851,2.7119999999999997,82.7,1,0.0,2015006903,0.0,0.0,1.0,1.0,0.0,0.0,0.0,FB,2015,2,1,1,0,0,1,0
0.764,2.51,83.7,1,0.0,2015006903,1.0,0.0,1.0,2.0,0.0,0.0,0.0,FB,2015,2,1,1,0,0,1,0
1.182,2.585,84.1,1,0.0,2015006903,2.0,0.0,1.0,3.0,0.0,0.0,0.0,FB,2015,2,1,1,0,0,1,0
-0.883,2.7230000000000003,84.6,1,0.0,2015006903,3.0,0.0,1.0,4.0,0.0,0.0,0.0,FB,2015,2,1,0,1,0,1,0
-0.342,2.56,84.6,1,0.0,2015006903,3.0,1.0,1.0,5.0,0.0,0.0,0.0,FB,2015,2,1,0,1,0,1,0
-0.591,1.4869999999999999,78.8,3,0.0,2015006903,3.0,2.0,1.0,6.0,0.0,0.0,0.0,OS,2015,2,1,0,0,1,1,0
-0.308,3.35,85.0,1,0.0,2015006904,0.0,0.0,1.0,1.0,1.0,0.0,0.0,FB,2015,2,1,0,1,0,1,0
-0.698,2.522,84.4,1,0.0,2015006904,0.0,1.0,1.0,2.0,1.0,0.0,0.0,FB,2015,2,1,0,1,0,1,0
-0.561,0.872,74.4,2,0.0,2015006904,0.0,2.0,1.0,3.0,0.0,0.0,1.0,BR,2015,2,1,1,0,0,1,0
-0.9159999999999999,3.93,86.8,1,0.0,2015006904,1.0,2.0,1.0,4.0,0.0,0.0,1.0,FB,2015,2,1,1,0,0,1,0
0.64,3.24,87.0,1,0.0,2015006904,2.0,2.0,1.0,5.0,0.0,0.0,1.0,FB,2015,2,1,0,1,0,1,0
-0.07,1.6019999999999999,75.1,2,0.0,2015006904,2.0,2.0,1.0,6.0,0.0,0.0,1.0,BR,2015,2,1,0,1,0,1,0
0.27,2.195,78.8,2,0.0,2015006905,0.0,0.0,2.0,1.0,0.0,0.0,1.0,BR,2015,2,1,0,0,1,0,1
1.068,2.801,82.8,1,0.0,2015006911,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FB,2015,3,1,1,0,0,0,1
-0.049,3.105,83.3,1,0.0,2015006911,1.0,0.0,0.0,2.0,0.0,0.0,0.0,FB,2015,3,1,0,1,0,0,1
-0.57,1.561,79.3,2,0.0,2015006911,1.0,1.0,0.0,3.0,0.0,0.0,0.0,BR,2015,3,1,1,0,0,0,1
0.46,2.94,84.3,1,0.0,2015006911,2.0,1.0,0.0,4.0,0.0,0.0,0.0,FB,2015,3,1,0,1,0,0,1
-0.165,3.225,85.1,1,0.0,2015006911,2.0,2.0,0.0,5.0,0.0,0.0,0.0,FB,2015,3,1,0,1,0,0,1
-0.02,2.075,84.1,1,0.0,2015006912,0.0,0.0,1.0,1.0,0.0,0.0,0.0,FB,2015,3,1,0,1,0,1,0
1.1159999999999999,-0.061,72.4,2,0.0,2015006912,0.0,1.0,1.0,2.0,0.0,0.0,0.0,BR,2015,3,1,1,0,0,1,0
-0.8059999999999999,2.674,72.7,2,0.0,2015006912,1.0,1.0,1.0,3.0,0.0,0.0,0.0,BR,2015,3,1,0,1,0,1,0
-1.621,3.31,86.9,1,0.0,2015006912,1.0,2.0,1.0,4.0,0.0,0.0,0.0,FB,2015,3,1,1,0,0,1,0
-0.73,2.517,77.5,3,0.0,2015006912,2.0,2.0,1.0,5.0,0.0,0.0,0.0,OS,2015,3,1,0,1,0,1,0
1.266,0.818,82.7,1,0.0,2015006912,2.0,2.0,1.0,6.0,0.0,0.0,0.0,FB,2015,3,1,0,1,0,1,0
0.127,2.5660000000000003,84.5,1,0.0,2015006913,0.0,0.0,2.0,1.0,0.0,0.0,0.0,FB,2015,3,1,0,1,0,1,0
-1.4769999999999999,1.673,71.9,2,0.0,2015006913,0.0,1.0,2.0,2.0,0.0,0.0,0.0,BR,2015,3,1,1,0,0,1,0
-0.943,2.625,86.1,1,0.0,2015006913,1.0,1.0,2.0,3.0,0.0,0.0,0.0,FB,2015,3,1,0,1,0,1,0
1.81,1.075,82.8,1,0.0,2015006913,1.0,2.0,2.0,4.0,0.0,0.0,0.0,FB,2015,3,1,1,0,0,1,0
